name,utc,mjd,ra,dec,dm,snr,width,fluence,z_est
FRB20181226E,2018-12-26 00:00:00,58478,303.56,73.64,308.762,20.9,0.00295,1.35,0.308762
FRB20181227A,2018-12-27 00:00:00,58479,31.79,78.38,791.2134,11.1,0.00197,1.82,0.7912134
FRB20181228A,2018-12-28 00:00:00,58480,7.26,10.22,748.6791,18.1,0.00295,4.0,0.7486790999999999
FRB20181228B,2018-12-28 00:00:00,58480,250.43,63.85,568.6506,34.6,0.00492,1.67,0.5686506
FRB20181228C,2018-12-28 00:00:00,58480,265.19,54.36,510.7,10.3,0.00295,0.74,0.5107
FRB20181229A,2018-12-29 00:00:00,58481,137.18,42.01,955.5735,31.7,0.00492,4.0,0.9555735
FRB20181229B,2018-12-29 00:00:00,58481,238.37,19.78,389.047,22.2,0.02064,4.9,0.38904700000000003
FRB20181230A,2018-12-30 00:00:00,58482,346.69,83.37,769.611,29.7,0.03441,18.0,0.769611
FRB20181230B,2018-12-30 00:00:00,58482,20.83,79.7,1137.36,17.6,0.01081,9.7,1.13736
FRB20181230C,2018-12-30 00:00:00,58482,245.75,50.52,1037.194,16.5,0.00295,2.1,1.037194
FRB20181230D,2018-12-30 00:00:00,58482,255.3,50.51,223.9665,20.0,0.00098,2.0,0.22396649999999999
FRB20181230E,2018-12-30 00:00:00,58482,113.26,86.85,1041.713,20.5,0.01081,10.4,1.041713
FRB20181231A,2018-12-31 00:00:00,58483,29.71,20.96,1376.7324,39.3,0.00295,2.2,1.3767324
FRB20181231B,2018-12-31 00:00:00,58483,128.77,55.99,197.1697,55.1,0.00295,2.34,0.1971697
FRB20181231C,2018-12-31 00:00:00,58483,197.09,69.18,556.086,27.7,0.00197,1.2,0.556086
FRB20190101A,2019-01-01 00:00:00,58484,171.01,27.99,854.609,33.0,0.04227,11.3,0.8546090000000001
FRB20190101B,2019-01-01 00:00:00,58484,307.77,29.89,1323.9056,22.8,0.00295,4.4,1.3239056
FRB20190102A,2019-01-02 00:00:00,58485,9.26,26.72,699.1727,50.0,0.00393,4.2,0.6991727
FRB20190102B,2019-01-02 00:00:00,58485,21.66,21.39,367.1642,31.9,0.00295,3.9,0.3671642
FRB20190103B,2019-01-03 00:00:00,58486,93.57,19.73,541.129,26.4,0.03146,12.9,0.541129
FRB20190103C,2019-01-03 00:00:00,58486,104.19,11.07,1349.133,34.2,0.00492,13.4,1.3491330000000001
FRB20190103A,2019-01-03 00:00:00,58486,190.53,65.13,364.5627,40.0,0.00983,5.4,0.3645627
FRB20190103D,2019-01-03 00:00:00,58486,221.84,59.91,1913.5509,19.8,0.00295,1.17,1.9135509
FRB20190103E,2019-01-03 00:00:00,58486,262.89,45.84,736.245,13.5,0.00295,2.0,0.736245
FRB20190104A,2019-01-04 00:00:00,58487,70.5,35.59,549.4329,24.4,0.00197,3.9,0.5494329
FRB20190104A,2019-01-04 00:00:00,58487,70.5,35.59,549.4329,24.4,0.00197,3.9,0.5494329
FRB20190104B,2019-01-04 00:00:00,58487,234.72,-6.25,530.137,12.8,0.0059,9.5,0.530137
FRB20190105A,2019-01-05 00:00:00,58488,266.3,63.82,383.551,10.5,0.00885,3.5,0.383551
FRB20190106A,2019-01-06 00:00:00,58489,22.19,46.12,340.061,12.7,0.00688,0.81,0.340061
FRB20190106B,2019-01-06 00:00:00,58489,335.63,46.13,316.5941,77.2,0.00197,3.8,0.31659410000000004
FRB20190107A,2019-01-07 00:00:00,58490,0.86,21.81,849.19,15.0,0.04719,6.3,0.84919
FRB20190107B,2019-01-07 00:00:00,58490,33.45,83.4,166.0939,26.8,0.00098,4.3,0.1660939
FRB20190109A,2019-01-09 00:00:00,58492,107.96,5.16,324.604,15.4,0.01376,6.4,0.324604
FRB20190109A,2019-01-09 00:00:00,58492,107.96,5.16,324.604,15.4,0.01376,6.4,0.324604
FRB20190109B,2019-01-09 00:00:00,58492,253.47,1.25,175.168,14.0,0.00688,3.0,0.17516800000000002
FRB20190110A,2019-01-10 00:00:00,58493,64.95,47.44,472.7526,63.0,0.00295,3.8,0.47275259999999997
FRB20190110B,2019-01-10 00:00:00,58493,131.68,50.16,486.118,18.8,0.00885,1.9,0.486118
FRB20190110C,2019-01-10 00:00:00,58493,246.98,41.42,221.961,28.3,0.00295,1.4,0.22196100000000002
FRB20190111A,2019-01-11 00:00:00,58494,217.0,26.78,171.96819,131.7,0.0059,17.0,0.17196819
FRB20190111A,2019-01-11 00:00:00,58494,217.0,26.78,171.96819,131.7,0.0059,17.0,0.17196819
FRB20190111A,2019-01-11 00:00:00,58494,217.0,26.78,171.96819,131.7,0.0059,17.0,0.17196819
FRB20190111B,2019-01-11 00:00:00,58494,260.02,13.53,1336.9271,32.6,0.00393,0.78,1.3369271
FRB20190112A,2019-01-12 00:00:00,58495,257.98,61.2,425.8474,66.1,0.00983,16.2,0.4258474
FRB20190113A,2019-01-13 00:00:00,58496,108.14,-2.99,428.924,12.6,0.00688,5.6,0.42892399999999997
FRB20190114A,2019-01-14 00:00:00,58497,8.95,19.17,887.392,21.1,0.00492,2.3,0.8873920000000001
FRB20190115A,2019-01-15 00:00:00,58498,45.61,54.28,1021.684,12.9,0.00295,0.95,1.021684
FRB20190115B,2019-01-15 00:00:00,58498,76.82,82.06,748.293,25.2,0.00393,5.2,0.748293
FRB20190116E,2019-01-16 00:00:00,58499,19.36,52.32,1491.0006,12.4,0.00098,1.12,1.4910006
FRB20190116D,2019-01-16 00:00:00,58499,85.1,68.68,1164.025,16.5,0.00983,4.7,1.164025
FRB20190116A,2019-01-16 00:00:00,58499,192.33,27.15,445.48,19.9,0.01278,3.7,0.44548000000000004
FRB20190116B,2019-01-16 00:00:00,58499,192.33,27.15,443.549,21.9,0.00688,2.0,0.44354899999999997
FRB20190116C,2019-01-16 00:00:00,58499,249.32,70.96,629.27648,210.6,0.00295,65.0,0.62927648
FRB20190116F,2019-01-16 00:00:00,58499,261.67,75.0,316.9203,15.3,0.00295,1.54,0.3169203
FRB20190117C,2019-01-17 00:00:00,58500,115.13,74.59,865.9008,10.8,0.00197,0.79,0.8659008
FRB20190117D,2019-01-17 00:00:00,58500,208.87,31.68,1178.063,20.1,0.00295,3.5,1.178063
FRB20190117A,2019-01-17 00:00:00,58500,331.71,17.37,393.3602,96.9,0.00393,9.9,0.3933602
FRB20190118B,2019-01-18 00:00:00,58501,39.71,23.57,670.89,16.1,0.03637,3.62,0.67089
